,Start,Stop,Pearson,Slope,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg
0,2017-09-27 05:00:00,2017-09-27 05:59:00,5,7,1,1,1,1,1,1
1,2017-09-27 05:01:00,2017-09-27 06:00:00,1,3,2,2,2,1,2,2
2,2017-09-27 05:02:00,2017-09-27 06:01:00,1,3,3,3,3,1,3,3
3,2017-09-27 05:03:00,2017-09-27 06:02:00,2,6,4,4,4,1,4,4
4,2017-09-27 05:04:00,2017-09-27 06:03:00,3,10,1,1,1,1,5,1
5,2017-09-27 05:05:00,2017-09-27 06:04:00,4,10,1,1,1,1,1,1
6,2017-09-27 05:06:00,2017-09-27 06:05:00,5,1,1,1,1,1,1,1
7,2017-09-27 05:07:00,2017-09-27 06:06:00,5,2,1,1,1,1,1,1
8,2017-09-27 05:08:00,2017-09-27 06:07:00,7,4,2,2,2,2,1,1
9,2017-09-27 05:09:00,2017-09-27 06:08:00,8,9,3,3,3,3,1,1
10,2017-09-27 05:10:00,2017-09-27 06:09:00,9,6,1,1,4,4,1,1
11,2017-09-27 05:11:00,2017-09-27 06:10:00,9,7,2,2,5,5,2,2
12,2017-09-27 05:12:00,2017-09-27 06:11:00,10,9,3,3,6,6,3,3
13,2017-09-27 05:13:00,2017-09-27 06:12:00,11,9,4,4,7,7,4,4
14,2017-09-27 05:14:00,2017-09-27 06:13:00,12,10,5,5,8,8,5,5
15,2017-09-27 05:15:00,2017-09-27 06:14:00,13,10,6,6,9,8,6,6
16,2017-09-27 05:16:00,2017-09-27 06:15:00,14,10,7,7,7,7,7,7
17,2017-09-27 05:17:00,2017-09-27 06:16:00,14,14,8,8,8,8,8,8
18,2017-09-27 05:18:00,2017-09-27 06:17:00,14,14,9,9,9,9,9,9
19,2017-09-27 05:19:00,2017-09-27 06:18:00,14,14,10,10,10,10,10,10
20,2017-09-27 05:20:00,2017-09-27 06:19:00,14,14,11,11,11,11,11,11
21,2017-09-27 05:21:00,2017-09-27 06:20:00,14,14,12,12,12,12,12,12
22,2017-09-27 05:22:00,2017-09-27 06:21:00,14,14,13,13,13,13,13,13
23,2017-09-27 05:23:00,2017-09-27 06:22:00,15,14,14,14,14,14,14,14
24,2017-09-27 05:24:00,2017-09-27 06:23:00,11,15,15,15,15,15,15,15
25,2017-09-27 05:25:00,2017-09-27 06:24:00,11,15,16,16,16,16,16,16
26,2017-09-27 05:26:00,2017-09-27 06:25:00,14,14,17,17,17,17,17,17
