,Time,BX_GSM,BY_GSM,BZ_GSM,Vx,Vy,Vz,proton_density,T
0,2017-09-15 12:00:00,-6.1203766,1.7571801,-1.2237175,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
1,2017-09-15 12:01:00,-5.7882323,1.826146,-1.9169296,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
2,2017-09-15 12:02:00,-5.528233,1.7697973,-2.5423813,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
3,2017-09-15 12:03:00,-5.644272,1.2972227,-2.9509022,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
4,2017-09-15 12:04:00,-5.1798973,1.0021062,-3.4242413,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
5,2017-09-15 12:05:00,-4.744342,0.22241248,-3.4247246,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
6,2017-09-15 12:06:00,-4.2131944,-0.517451,-3.9782956,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
7,2017-09-15 12:07:00,-4.2538323,1.3191001,-3.507946,-611.2265014648438,37.8721923828125,-10.805070877075195,2.3315656185150146,1348515.001871311
8,2017-09-15 12:08:00,-3.7225184,0.59743154,-4.3521338,-610.4423285590278,37.47297371758355,-10.672360526190865,2.3063586817847357,1362465.355199308
9,2017-09-15 12:09:00,-2.1011713,1.7562243,-5.4408174,-609.6581556532118,37.0737550523546,-10.539650175306532,2.2811517450544567,1376415.708527305
10,2017-09-15 12:10:00,-3.1926682,1.474412,-5.0080442,-608.8739827473959,36.67453638712565,-10.406939824422201,2.255944808324178,1390366.0618553017
11,2017-09-15 12:11:00,-3.1446266,0.8110026,-5.1656604,-608.0898098415798,36.2753177218967,-10.274229473537869,2.2307378715938992,1404316.4151832985
12,2017-09-15 12:12:00,-2.8850877,1.553964,-4.9873304,-607.3056369357639,35.876099056667755,-10.141519122653538,2.2055309348636203,1418266.7685112956
13,2017-09-15 12:13:00,-2.3840013,0.95523757,-5.596227,-606.5214640299479,35.476880391438804,-10.008808771769205,2.1803239981333413,1432217.1218392923
14,2017-09-15 12:14:00,-2.2007003,1.1452996,-5.548445,-605.737291124132,35.077661726209854,-9.876098420884874,2.155117061403063,1446167.4751672891
15,2017-09-15 12:15:00,-2.5119112,1.492198,-5.4479866,-604.9531182183159,34.678443060980904,-9.743388070000542,2.129910124672784,1460117.8284952862
16,2017-09-15 12:16:00,-1.942645,0.632442,-5.7249494,-604.1689453125,34.27922439575195,-9.610677719116211,2.104703187942505,1474068.181823283
17,2017-09-15 12:17:00,-1.4231131,0.6054019,-6.0637336,-606.2996554904514,28.56485917833116,-6.916099548339844,2.061814626057943,1515446.826498842
18,2017-09-15 12:18:00,-1.3263241,1.1307703,-6.066536,-608.4303656684028,22.850493960910374,-4.221521377563477,2.0189260641733804,1556825.4711744012
19,2017-09-15 12:19:00,-1.4319943,1.2974548,-5.964212,-610.5610758463541,17.136128743489586,-1.5269432067871094,1.9760375022888184,1598204.1158499606
20,2017-09-15 12:20:00,-1.2833297,1.2568291,-5.7501917,-612.6917860243055,11.421763526068794,1.1676349639892578,1.933148940404256,1639582.7605255197
21,2017-09-15 12:21:00,-1.1774989,0.6315493,-6.1107993,-614.822496202257,5.707398308648003,3.862213134765625,1.890260378519694,1680961.4052010789
22,2017-09-15 12:22:00,-1.0711538,1.0069599,-5.9356003,-616.9532063802084,-0.006966908772781721,6.556791305541992,1.8473718166351318,1722340.049876638
