,Start,Stop,Pearson,Slope,Intercept,MAPE,Ratio,RMSE,RMSE_Artemis,RMSE_Omni,RMSE_Avg,hourly-velocity
0,2015-03-17 04:50:00,2015-03-17 05:49:00,0.6220822414528883,0.5826260949994447,9.931811255797086,0.10063087372233705,0.1023364817515292,2.643827563799513,0.158027705344831,0.1167954159101017,0.1328358420684205,-499.6991522033898
1,2015-03-17 04:51:00,2015-03-17 05:50:00,0.6188770252875493,0.5709811125273511,10.202965271259908,0.10318285567213381,0.10493171763267846,2.708003534305941,0.16173052959108408,0.12000455814845366,0.13597638034329587,-499.68135559322036
2,2015-03-17 04:52:00,2015-03-17 05:51:00,0.6162305011069951,0.5627349336478372,10.388193502305542,0.10788968660801594,0.109718325364084,2.7517325879384913,0.16622173704578,0.12229507282618912,0.1394206403537516,-499.61694881355936
3,2015-03-17 04:53:00,2015-03-17 05:52:00,0.6115529881942862,0.5564167613726346,10.553202512705193,0.11119591502790264,0.11308059155379929,2.800761076436665,0.16937799085329677,0.12452121651222281,0.1417959013010034,-499.6847454237288
4,2015-03-17 04:54:00,2015-03-17 05:53:00,0.6136195090885834,0.5521142183713331,10.682173696001328,0.1152484941336623,0.11720185844101251,2.856252173035112,0.1727440376686274,0.12737265539139356,0.14492533056521853,-499.8135589830509
5,2015-03-17 04:55:00,2015-03-17 05:54:00,0.6220666147592614,0.5466852824919878,10.832365561563247,0.11963865238253252,0.12166642615172799,2.9301424468013755,0.1777451251442789,0.13163693390572284,0.14985074495486164,-500.01016915254235
6,2015-03-17 04:56:00,2015-03-17 05:55:00,0.6356468552948218,0.5534913830372866,10.698850484632429,0.12154934101637345,0.12360949933868486,2.9643619992628603,0.17839637623886015,0.13273262444422057,0.15053915256353417,-500.1237284745762
7,2015-03-17 04:57:00,2015-03-17 05:56:00,0.6610718454433062,0.5457214047058088,10.871562159325968,0.12299250050599154,0.12507711915863548,2.997680939250732,0.17948755463988336,0.13382305875857858,0.15164835882090102,-500.20169457627117
8,2015-03-17 04:58:00,2015-03-17 05:57:00,0.6978428353219474,0.5631685988356961,10.284537581788063,0.122731815327602,0.12481201558739186,2.9923249868077004,0.17929213241550426,0.13359215559179924,0.15143147739912668,-500.4169488135593
9,2015-03-17 04:59:00,2015-03-17 05:58:00,0.7208084241540342,0.569948813592863,10.147058519693731,0.12254654148458813,0.12462360150975064,3.032556849372111,0.18064615121388747,0.13557665932786553,0.1528327529229758,-500.4169488135594
10,2015-03-17 05:00:00,2015-03-17 05:59:00,0.7872930163847486,0.7343045281274526,6.6355011795663135,0.12982776026998524,0.13202823078303583,3.077760502449479,0.1905958347890666,0.1444651300696948,0.16358044005337277,-500.1627115254238
11,2015-03-17 05:01:00,2015-03-17 06:00:00,0.8324250417119154,0.909405893904133,3.0946196813449447,0.14176417907698874,0.1441669617732089,3.1289095651010568,0.2158761886411368,0.20592336762007069,0.225663420523186,-499.9796606779661
12,2015-03-17 05:02:00,2015-03-17 06:01:00,0.8592282925922562,0.9323324061644213,2.643771824686379,0.1445531277798803,0.14700318079309863,3.1533171550052668,0.21712708419036686,0.22161579777439966,0.24028495735842345,-499.75593186440676
13,2015-03-17 05:03:00,2015-03-17 06:02:00,0.8768959436529347,0.9844852568804207,1.3408821253445247,0.14721930713647288,0.14971454963031142,3.1506184875680483,0.2188648452692594,0.2259264733457415,0.24135127080676372,-499.61186406779655
14,2015-03-17 05:04:00,2015-03-17 06:03:00,0.89240456376123,1.0019356751457569,1.046534705680326,0.15852962541032103,0.1612165682138858,3.149628519583944,0.23936720183591653,0.2266917949123727,0.24984866356781213,-499.4059318644068
15,2015-03-17 05:05:00,2015-03-17 06:04:00,0.9009055746943947,1.0085505866038547,0.6447890208068578,0.17435902145682936,0.17731425910864004,3.1505322886214238,0.2582567105320647,0.22671391747000288,0.25172115557498387,-499.0533894915254
16,2015-03-17 05:06:00,2015-03-17 06:05:00,0.9137355616918909,1.0126161121629105,0.9599124118355178,0.17829209449432773,0.18131399440101126,3.130879842864405,0.2575273630341704,0.24120893964219792,0.2569313580806902,-498.6635589830509
17,2015-03-17 05:07:00,2015-03-17 06:06:00,0.9249887933077006,0.9966362740349062,2.0644745824463797,0.19960845851457065,0.20299165272668201,3.1924456334166926,0.31248778026768675,0.24146069923897223,0.2799947762832171,-498.2550844067796
18,2015-03-17 05:08:00,2015-03-17 06:07:00,0.9401719063993864,1.048346414815168,-2.786409727245946,0.23832993261406388,0.2423694229973531,3.460965707181663,0.39312923985999765,0.27323686932046753,0.29273719610435117,-497.8805081355932
19,2015-03-17 05:09:00,2015-03-17 06:08:00,0.95297518191051,1.0071184764071448,-2.785654110524014,0.24191006995595965,0.2460102406331793,3.4672652284867853,0.4245237322089381,0.2731853456552593,0.2926864033030342,-497.86016915254237
20,2015-03-17 05:10:00,2015-03-17 06:09:00,0.9614491743726432,0.9975374946244218,2.4938868641572647,0.24387538878715587,0.24800886995303986,3.4843956761577637,0.4250081866143577,0.2737181396151807,0.29327504707303126,-497.814406440678
21,2015-03-17 05:11:00,2015-03-17 06:10:00,0.9670276371560279,1.0122983845425297,2.2489778489188463,0.24321149457616367,0.24733372329779357,3.484666479181066,0.4249264268308835,0.27360989988392315,0.293165772052012,-497.87372847457635
22,2015-03-17 05:12:00,2015-03-17 06:11:00,0.9700749243803133,1.0306757138102214,1.9231382345804473,0.2448921769493716,0.24904289181292028,3.484751673219674,0.42555938815071354,0.2742329226995924,0.2938889974090422,-497.8177962711865
