,Start,Stop,P(Bx),P(By),P(Bz),P(Vx),P(Vy),P(Vz),P(n),P(T),R(Bx),R(By),R(Bz),R(Vx),R(Vy),R(Vz),R(n),R(T)
0,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,3.427196479856009,,,,,,,,,,,,,,
1,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,3.427196479856009,-0.33475146015117846,,,,,,,,,,,,
2,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,3.427196479856009,-0.33475146015117846,0.3586946139562434,,,,,,,,,,
3,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,0.5822737612104911,3.427196479856009,-0.33475146015117846,0.3586946139562434,0.04203475281556463,,,,,,,,
4,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,0.5822737612104911,0.27093251841638377,3.427196479856009,-0.33475146015117846,0.3586946139562434,0.04203475281556463,-0.6730823252456294,,,,,,
5,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,0.5822737612104911,0.27093251841638377,0.08224084450158674,3.427196479856009,-0.33475146015117846,0.3586946139562434,0.04203475281556463,-0.6730823252456294,-0.34818225881614945,,,,
6,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,0.5822737612104911,0.27093251841638377,0.08224084450158674,0.8083824833993501,3.427196479856009,-0.33475146015117846,0.3586946139562434,0.04203475281556463,-0.6730823252456294,-0.34818225881614945,1.4244164428191386,,
7,2016-08-02 12:45:00,2016-08-02 13:44:00,0.451178138803897,0.6041621942652654,0.7630996435466281,0.5822737612104911,0.27093251841638377,0.08224084450158674,0.8083824833993501,0.6423458200217493,3.427196479856009,-0.33475146015117846,0.3586946139562434,0.04203475281556463,-0.6730823252456294,-0.34818225881614945,1.4244164428191386,-0.8305461179344744
8,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,3.535893325129648,,,,,,,,,,,,,,
9,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,3.535893325129648,-0.3183498928899395,,,,,,,,,,,,
10,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,3.535893325129648,-0.3183498928899395,0.40897410209320245,,,,,,,,,,
11,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,0.5637428474061785,3.535893325129648,-0.3183498928899395,0.40897410209320245,0.04164544903194512,,,,,,,,
12,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,0.5637428474061785,0.25236881483337936,3.535893325129648,-0.3183498928899395,0.40897410209320245,0.04164544903194512,-0.6734746447593598,,,,,,
13,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,0.5637428474061785,0.25236881483337936,-0.31769357093770506,3.535893325129648,-0.3183498928899395,0.40897410209320245,0.04164544903194512,-0.6734746447593598,-0.34333837490169916,,,,
14,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,0.5637428474061785,0.25236881483337936,-0.31769357093770506,0.8024435697970252,3.535893325129648,-0.3183498928899395,0.40897410209320245,0.04164544903194512,-0.6734746447593598,-0.34333837490169916,1.4304263152357466,,
15,2016-08-02 12:46:00,2016-08-02 13:45:00,0.47698210532291574,0.5869938668078106,0.7644818826373757,0.5637428474061785,0.25236881483337936,-0.31769357093770506,0.8024435697970252,0.6145753749771521,3.535893325129648,-0.3183498928899395,0.40897410209320245,0.04164544903194512,-0.6734746447593598,-0.34333837490169916,1.4304263152357466,-0.8280434528492427
16,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,3.654443683817173,,,,,,,,,,,,,,
17,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,3.654443683817173,-0.3055403241662714,,,,,,,,,,,,
18,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,0.7766361782111845,3.654443683817173,-0.3055403241662714,0.4514690098032895,,,,,,,,,,
19,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,0.7766361782111845,0.5547311643565104,3.654443683817173,-0.3055403241662714,0.4514690098032895,0.042097356130853726,,,,,,,,
20,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,0.7766361782111845,0.5547311643565104,0.15196424242607798,3.654443683817173,-0.3055403241662714,0.4514690098032895,0.042097356130853726,-0.6755591917107924,,,,,,
21,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,0.7766361782111845,0.5547311643565104,0.15196424242607798,-0.42655227247808003,3.654443683817173,-0.3055403241662714,0.4514690098032895,0.042097356130853726,-0.6755591917107924,-0.33734305272661425,,,,
22,2016-08-02 12:47:00,2016-08-02 13:46:00,0.4933941159390755,0.5507250569047892,0.7766361782111845,0.5547311643565104,0.15196424242607798,-0.42655227247808003,0.7694572591574863,3.654443683817173,-0.3055403241662714,0.4514690098032895,0.042097356130853726,-0.6755591917107924,-0.33734305272661425,1.4494834385124051,,
