,Start,Stop,P(Bx),P(By),P(Bz),P(Vx),P(Vy),P(Vz),P(n),P(T),R(Bx),R(By),R(Bz),R(Vx),R(Vy),R(Vz),R(n),R(T),M(Bx),M(By),M(Bz),M(Vx),M(Vy),M(Vz),M(n),M(T)
0,2011-10-24 18:40:00,2011-10-24 19:39:00,0.24186519893945518,0.6915666866661333,0.8666323887569046,0.3829578092040298,0.7619648776007241,0.5903123290762922,0.13081503377379142,0.8421913312729685,0.5160914910743282,0.5417577061392324,0.45919530738574993,0.9000201610279309,0.16248442752518086,0.6716635565700767,0.7318901684628389,0.344142499815899,0.17999151277014216,0.5188491228629087,0.2622482042171759,0.11718332990218036,0.21929229810966042,0.10177434965851108,0.33446728854042956,1.2291669989949627
1,2011-10-24 18:41:00,2011-10-24 19:40:00,0.25071834458898545,0.688096947247856,0.8734865148042942,0.37879132726339965,0.8121086408230205,0.5772445441317017,0.13113014060964923,0.8405388802961149,0.5106536618318722,0.5497335324973848,0.45551803955624465,0.901978856367637,0.17951745447145318,0.6681846096935337,0.7404962703233974,0.3431948289663758,0.16051640198581743,0.4978084097652463,0.26856145995432396,0.11333008915933558,0.20215422661611096,0.09528360408577059,0.32985346542262683,1.2179716130090985
2,2011-10-24 18:42:00,2011-10-24 19:41:00,0.23828679810093226,0.6697397077809305,0.8350384559538094,0.35696882234047733,0.8404040178373557,0.5178475490839358,0.08935013500560003,0.8356174987227578,0.5116852483533249,0.5672413032992718,0.4383387222604195,0.9026413419157369,0.1842671562659328,0.6834287079935151,0.7453474207395732,0.3438578006395964,0.14866255938885345,0.46171222493358133,0.2918576979386645,0.1080668187986454,0.2175232150305203,0.052795052611310844,0.31518596257212006,1.2057261377549688
3,2011-10-24 18:43:00,2011-10-24 19:42:00,0.29104837128276634,0.645698399018041,0.845454247775654,0.3423420881739387,0.8575877955584105,0.5112004931580973,0.05223959153833714,0.8301657536319516,0.5002365744261903,0.5914896720681754,0.45011942847545566,0.9043311159976758,0.18886250427490936,0.6895778877957067,0.7534975139105469,0.3429546975204725,0.1338035837959932,0.42492258844081826,0.27407499252660944,0.10389189079343555,0.26916626686316014,0.033344769113424405,0.30342498086874253,1.1951390713352337
4,2011-10-24 18:44:00,2011-10-24 19:43:00,0.33231317314669395,0.6522068425230166,0.8620945559343345,0.3952872517916541,0.8568600683995492,0.526443142984908,0.1198341932624333,0.8447546501136173,0.4993525753122859,0.6068260061402623,0.45046578133659254,0.9094734787712105,0.19281612268062043,0.6949243047429338,0.7523799199413517,0.33318522028423253,0.12727742850694446,0.41476093657228097,0.3057611608634227,0.10410893234390167,0.3229661845275975,0.03597737627247498,0.30494006043471344,1.192209381881322
5,2011-10-24 18:45:00,2011-10-24 19:44:00,0.356982820078003,0.6569123093306056,0.862931519325016,0.4489798177508173,0.8547833958423873,0.5201429109405823,0.1478658360035194,0.8450583009856952,0.4927039412529642,0.6102797404350437,0.4520385903592703,0.9134981547040977,0.2012262859526585,0.6945447224403165,0.7559209603145548,0.32640698681082525,0.10598046465387079,0.4128313417260313,0.3712306350062043,0.10282455098964004,0.3643959018686907,0.017445642060761664,0.30267760703101704,1.1868962577964854
6,2011-10-24 18:46:00,2011-10-24 19:45:00,0.3518331057200611,0.6597892427160033,0.864008058421749,0.43935662464216174,0.8551687437061557,0.5113815809181416,0.1109393830468943,0.8295437586267564,0.4868977673793189,0.6242171378174064,0.4718963323915096,0.9146433129063894,0.20581054431039264,0.6924708734105001,0.7595844245740878,0.3270677635270623,0.10109112630648608,0.402410496127456,0.38325493540222916,0.09808719698714652,0.4175016388559533,0.00010022006190060255,0.292185928011973,1.1740404619669431
7,2011-10-24 18:47:00,2011-10-24 19:46:00,0.35692983994522537,0.6546830787140643,0.8642408260820361,0.38531353078314273,0.8519074005237515,0.5061599220764176,0.039119083443512906,0.8197789385721178,0.4819794793380091,0.6302648658870861,0.4965521964899326,0.914188420067394,0.20640374015905355,0.691730038667062,0.7671222127415988,0.33013401177175694,0.09147149978046062,0.3894861248133248,0.39690192586978534,0.09169216461371651,0.41597577085545995,-0.004888546911664628,0.27713396992138756,1.158860923652365
8,2011-10-24 18:48:00,2011-10-24 19:47:00,0.3729108944107545,0.6558162322463061,0.8638236863642889,0.3332310077983315,0.8457798551587884,0.49383482442234616,-0.6606805836575295,0.811225368176053,0.473439791472448,0.625778887908804,0.5148507324347813,0.9137828469090074,0.20988078712470787,0.6898576999798834,0.7739904034035582,0.3313801113278833,0.08126355309310829,0.3834635338069354,0.4134687606565022,0.08603678795986837,0.40478721002825774,-0.021028946013699642,0.2640662476992249,1.1461822440755005
9,2011-10-24 18:49:00,2011-10-24 19:48:00,0.34377377682363475,0.6561329072398758,0.8577365525480162,0.3932311116700012,0.846104684101533,0.48715042391110763,-0.6616936715489585,0.8060283622639869,0.4740999451110158,0.6262509811817393,0.510415379395322,0.9163719055099021,0.2144471650545494,0.6885146410875504,0.7752472073368412,0.32289798765036504,0.09037585261196843,0.37486796351291224,0.41414813772353926,0.08408067960324507,0.39052373018330144,-0.027654001575630145,0.2584508638528525,1.1442919963025762
10,2011-10-24 18:50:00,2011-10-24 19:49:00,0.3150927319593661,0.659591310512934,0.8389191145223346,0.4429529665843225,0.8472676993812637,0.48717211295680674,-0.6569696035652643,0.7960329000159901,0.47657815397278563,0.628966732635853,0.4947822266433525,0.9185473133138706,0.21209938825161048,0.6890149661648916,0.7770761328413658,0.3161922482158976,0.10078194913040928,0.3771472294653842,0.38718190205882363,0.08153341361924407,,-0.030514597973567082,0.2523465147020066,1.1408465585440222
