,Start,Stop,P(Bx),P(By),P(Bz),P(Vx),P(Vy),P(Vz),P(n),P(T),Offset (Bx),Offset (By),Offset (Bz),Offset (Vx),Offset (Vy),Offset (Vz),Offset (n),Offset (T),Avg Bx,Avg By,Avg Bz,Avg Vx,Avg Vy,Avg Vz,Avg n,Avg T
0,2014-02-27 17:00:00,2014-02-27 18:00:00,0.5151993350503196,0.709019134715641,0.7855819137741328,0.7929107238466715,0.7392279190767463,0.45493029786027733,0.6275842125945885,0.7245468984255017,19,2,2,19,19,4,19,19,6.2510833740234375,-9.625415802001953,-0.10308342427015305,-412.51336669921875,-73.75167083740234,9.310832977294922,30.21241569519043,120520.0
1,2014-02-27 17:01:00,2014-02-27 18:01:00,0.47630866751257017,0.6952924874096409,0.75448036782543,0.7951956158347397,0.7474250887337092,0.47981223015127106,0.6263297110210946,0.7088827536804254,19,2,2,19,19,4,18,19,6.240416526794434,-9.796082496643066,-0.07091672718524933,-413.5199890136719,-74.12500762939453,8.84749984741211,30.436750411987305,121658.265625
2,2014-02-27 17:02:00,2014-02-27 18:02:00,0.4589385237714303,0.6507131991172487,0.7150656305023391,0.7632588900339144,0.7212211572879176,0.5035743263148368,0.6012038361908841,0.6668092929882452,19,2,2,19,19,4,18,19,6.245083332061768,-9.91391658782959,-0.05891675874590874,-414.818359375,-74.69998931884766,8.585833549499512,30.672250747680664,123343.453125
3,2014-02-27 17:03:00,2014-02-27 18:03:00,0.4370297424096606,0.6104118298972109,0.6731528197182883,0.7243738271106716,0.6785450458893937,0.5265449251547761,0.5923802287211625,0.6204891026737056,19,2,2,19,19,4,18,19,6.275082588195801,-10.068751335144043,-0.0827501118183136,-416.0150146484375,-75.24166107177734,8.190832138061523,30.84941864013672,124808.0703125
4,2014-02-27 17:04:00,2014-02-27 18:04:00,0.41765473428547584,0.5509214195895532,0.6626905159433898,0.6887846606448984,0.6361454362135632,0.5425993681928841,0.6032537362609166,0.5733674625397103,19,2,2,19,19,4,19,9,6.26558256149292,-10.195919036865234,-0.00991672184318304,-417.1483459472656,-75.6883316040039,7.992499351501465,30.94708251953125,126370.5859375
5,2014-02-27 17:05:00,2014-02-27 18:05:00,0.4052647146623806,0.50406155400086,0.6547884464081392,0.6859285788824282,0.6080496255842294,0.5477546558913038,0.6467860405652582,0.5366092346926562,19,2,2,19,19,4,19,19,6.236083507537842,-10.324750900268555,0.062249939888715744,-418.1249694824219,-75.95166015625,8.030832290649414,30.8994140625,127772.1796875
6,2014-02-27 17:06:00,2014-02-27 18:06:00,0.47482736413410304,0.49859836692266996,0.6376033819258823,0.7144962868990422,0.6135417010226952,0.5390051661204778,0.7212003218459788,0.5284286910443081,0,16,2,19,19,4,19,19,6.2019171714782715,-10.468584060668945,0.13924996554851532,-418.9266662597656,-76.0,8.195833206176758,30.707582473754883,128562.484375
7,2014-02-27 17:07:00,2014-02-27 18:07:00,0.5233336484289717,0.5280242976506447,0.6239927494142467,0.7216840998184493,0.5974234566193487,0.5318691135353931,0.7461390068812593,0.5064428883275701,1,16,2,19,19,4,19,19,6.204249858856201,-10.643917083740234,0.19891667366027832,-419.74664306640625,-76.1966781616211,8.332499504089355,30.657747268676758,129188.75
8,2014-02-27 17:08:00,2014-02-27 18:08:00,0.5613114455073894,0.5496122549511945,0.6158303120345422,0.6702282981421767,0.5870089654979251,0.5393237385508316,0.7472345593164452,0.47558065835913294,1,16,2,6,19,4,19,15,6.213417053222656,-10.78708267211914,0.27008330821990967,-421.2716064453125,-76.84667205810547,8.237499237060547,30.87824821472168,130970.0703125
9,2014-02-27 17:09:00,2014-02-27 18:09:00,0.6024207350636,0.558542833366576,0.6204243019127573,0.7229357265516314,0.5948557540300153,0.5295057576813574,0.8136029759836659,0.4521817904501137,0,16,2,5,19,4,13,16,6.219416618347168,-10.882248878479004,0.38758328557014465,-422.44329833984375,-77.21834564208984,8.387499809265137,30.982248306274414,132059.1875
