,Start,Stop,P(Bx),P(By),P(Bz),P(Vx),P(Vy),P(Vz),P(n),P(T),Offset (Bx),Offset (By),Offset (Bz),Offset (Vx),Offset (Vy),Offset (Vz),Offset (n),Offset (T),Avg Bx,Avg By,Avg Bz,Avg Vx,Avg Vy,Avg Vz,Avg n,Avg T
0,2011-10-24 18:40:00,2011-10-24 19:40:00,0.24763350361428518,0.6901889507115204,0.8741125125481768,0.27531286237574304,0.7644544660567822,0.5756300231323519,0.0,0.8431248949141338,0,8,8,19,8,13,0,5,4.183333396911621,-9.230499267578125,-3.3483335971832275,-431.2658996582031,3.4508330821990967,-25.784168243408203,18.290002822875977,299802.9375
1,2011-10-24 18:41:00,2011-10-24 19:41:00,0.23581619604900617,0.6803097193656581,0.8345641919356205,0.2642109252390878,0.8082420928681942,0.5435541654426695,0.0,0.8406556882241789,4,8,8,19,8,13,0,5,4.179333686828613,-9.413665771484375,-3.309999942779541,-432.8191833496094,3.5508334636688232,-26.030834197998047,18.41383171081543,304672.0
2,2011-10-24 18:42:00,2011-10-24 19:42:00,0.27397041528444077,0.6592022527960064,0.8332637923786276,0.20491527058025244,0.8361835394111756,0.5049084612318836,0.0,0.8340352160891409,0,8,8,19,9,9,0,5,4.25600004196167,-9.645333290100098,-3.1468331813812256,-434.9658203125,3.6991662979125977,-26.51750373840332,18.661998748779297,310125.125
3,2011-10-24 18:43:00,2011-10-24 19:43:00,0.3286326226884575,0.6439746555692285,0.8442436842503667,0.16031720157735266,0.8534861944090626,0.4792088886787831,0.0,0.8264580473599445,1,8,8,19,9,9,0,6,4.334333419799805,-9.857832908630371,-3.067000150680542,-436.74249267578125,3.809166431427002,-27.00916862487793,18.900999069213867,315378.9375
4,2011-10-24 18:44:00,2011-10-24 19:44:00,0.3391419191047363,0.649665229162391,0.8625243168726626,0.27265478090193734,0.8566270423024261,0.48999041559517165,0.0,0.8372049681372525,1,8,8,19,9,9,0,6,4.362166404724121,-9.977998733520508,-2.94433331489563,-436.69744873046875,3.9841666221618652,-27.054168701171875,18.862499237060547,317685.40625
5,2011-10-24 18:45:00,2011-10-24 19:45:00,0.3510683060695424,0.6532606693746651,0.8628941828204132,0.35402622215984714,0.8536053098131259,0.47876751318620003,0.0,0.8324596885632014,1,8,8,19,9,9,0,6,4.395333290100098,-10.093165397644043,-2.9836666584014893,-437.3724670410156,4.3125,-27.524169921875,18.92483139038086,321332.40625
6,2011-10-24 18:46:00,2011-10-24 19:46:00,0.3523506133484844,0.6559778453693507,0.8640070800747301,0.33263941812754444,0.8511780151705531,0.47240012172210677,0.0,0.8189779703970398,1,8,8,19,9,9,0,6,4.405500411987305,-10.193833351135254,-3.0163333415985107,-439.38079833984375,4.479166507720947,-27.95583724975586,19.135499954223633,327026.03125
7,2011-10-24 18:47:00,2011-10-24 19:47:00,0.370291273056884,0.6500973194627097,0.8634449413134777,0.2567480235725241,0.846102080116327,0.470340722592126,0.0,0.8091068618247534,1,8,8,19,9,9,0,6,4.438000202178955,-10.32066535949707,-2.9830002784729004,-441.9658203125,4.522500514984131,-28.255834579467773,19.401498794555664,333601.28125
8,2011-10-24 18:48:00,2011-10-24 19:48:00,0.34507422572181085,0.6521194064634962,0.8564976152009833,0.19467339815802978,0.8463281990619007,0.4675246834315689,0.0,0.803910458309498,1,8,8,19,9,9,0,6,4.4206671714782715,-10.429166793823242,-3.118499994277954,-444.2758483886719,4.512499809265137,-28.7358341217041,19.645668029785156,338713.5625
9,2011-10-24 18:49:00,2011-10-24 19:49:00,0.31256100425363825,0.6540264203024596,0.8390470434818514,0.19988296817358597,0.8466378804166549,0.467749368193723,0.0,0.7959996651182968,1,8,8,19,9,9,0,6,4.380333423614502,-10.507000923156738,-3.2890000343322754,-445.1875,4.59083366394043,-29.099164962768555,19.768169403076172,340052.71875
10,2011-10-24 18:50:00,2011-10-24 19:50:00,0.2687957642444419,0.6579102135519435,0.8313518414871893,0.18368513482336893,0.8474085040869348,0.470664620604752,0.0,0.7626707558911603,0,8,8,19,9,9,0,7,4.320499897003174,-10.618000984191895,-3.4048333168029785,-446.4975280761719,4.5908331871032715,-29.655832290649414,19.881999969482422,344420.125
11,2011-10-24 18:51:00,2011-10-24 19:51:00,0.27353040967302433,0.6641620111370858,0.8170109267660453,0.13647079720067673,0.8487822278618303,0.4713005170919903,0.0,0.7364964559913096,0,8,8,19,9,9,0,6,4.331000328063965,-10.666667938232422,-3.55733323097229,-448.29248046875,4.600832939147949,-30.27250099182129,20.045997619628906,350668.46875
12,2011-10-24 18:52:00,2011-10-24 19:52:00,0.2695256363158455,0.6636170340087607,0.8079816654562899,0.0791248057663623,0.8439748142681223,0.46993504049493146,0.0,0.734974173929765,1,8,7,19,9,9,0,6,4.368166446685791,-10.6676664352417,-3.7563328742980957,-450.2108459472656,4.767499923706055,-31.22916603088379,20.272998809814453,358522.40625
13,2011-10-24 18:53:00,2011-10-24 19:53:00,0.25109587905903247,0.6637772283491286,0.8058693658337286,0.06191968287739556,0.8305639452391681,0.46431033525703036,0.0,0.7156337554550602,2,8,7,19,9,9,0,6,4.405666828155518,-10.60966682434082,-3.9110000133514404,-450.8074951171875,5.074166297912598,-32.09583282470703,20.424163818359375,363732.46875
14,2011-10-24 18:54:00,2011-10-24 19:54:00,0.2456082251394306,0.6755150977636121,0.8011215758434235,0.03153299640485902,0.8175876413878975,0.45966642712067846,0.0,0.7023475015746198,0,8,7,19,9,9,0,6,4.443000316619873,-10.611666679382324,-4.093500137329102,-451.8408203125,5.360833168029785,-32.989166259765625,20.599496841430664,369848.34375
15,2011-10-24 18:55:00,2011-10-24 19:55:00,0.24702011801213264,0.6961414739744997,0.8022062831401119,0.0,0.8266121327502937,0.45788284872625495,0.0,0.6888048940775393,4,8,7,0,9,9,0,7,4.460333347320557,-10.630499839782715,-4.2310004234313965,-454.1474914550781,5.360833644866943,-33.99250030517578,20.870500564575195,379596.0
16,2011-10-24 18:56:00,2011-10-24 19:56:00,0.24436920735018375,0.7056293882637185,0.80359483104009,0.0,0.8294262973659623,0.4569769106339956,0.0,0.6681312937392907,0,8,7,0,9,9,0,7,4.478166103363037,-10.588167190551758,-4.374666690826416,-455.60247802734375,5.379167079925537,-34.90583038330078,21.073667526245117,387557.53125
17,2011-10-24 18:57:00,2011-10-24 19:57:00,0.24299685083590425,0.7372616037270299,0.8057478504700195,0.0,0.7467832028230486,0.46632728469995166,0.0,0.6645740199830129,0,7,7,0,9,8,0,7,4.509332656860352,-10.583500862121582,-4.591500282287598,-457.4241638183594,5.924167156219482,-35.75749969482422,21.319000244140625,393793.9375
18,2011-10-24 18:58:00,2011-10-24 19:58:00,0.2592996599216853,0.753817774556474,0.8036113010126309,0.0,0.6671600078766723,0.4745487910053513,0.0,0.6577527966830644,0,8,7,0,10,8,0,7,4.529333591461182,-10.504334449768066,-4.71150016784668,-458.0707702636719,6.45916748046875,-36.32749938964844,21.46783447265625,397544.28125
19,2011-10-24 18:59:00,2011-10-24 19:59:00,0.2511041346992711,0.7691460600625601,0.8092950059698187,0.0,0.5913527473136738,0.49916175856532985,0.0,0.6496788154322266,0,8,7,0,10,8,0,7,4.501832962036133,-10.595834732055664,-4.696500301361084,-459.5574951171875,7.012500286102295,-37.16416931152344,21.6943359375,403356.875
20,2011-10-24 19:00:00,2011-10-24 20:00:00,0.24012117303648658,0.7724137885968193,0.8110430366073057,0.0,0.531435008732145,0.5310607294628158,0.0,0.639210863445774,0,8,7,0,10,8,0,7,4.465333461761475,-10.745333671569824,-4.555666446685791,-461.3583068847656,7.471250534057617,-37.98041534423828,21.927209854125977,409783.3125
21,2011-10-24 19:01:00,2011-10-24 20:01:00,0.2215199887765784,0.7953389516565191,0.794779105544416,0.0,0.4841716931019248,0.5553374384349303,0.0,0.6267627550450331,0,8,7,0,10,8,0,7,4.421332836151123,-11.005501747131348,-4.2733330726623535,-463.0283203125,7.74541711807251,-38.57792282104492,22.106792449951172,415903.0625
22,2011-10-24 19:02:00,2011-10-24 20:02:00,0.23773497642526276,0.8061461025968258,0.7820847534093306,0.0,0.4490956435020528,0.5893274914744048,0.0,0.6096294757491143,0,8,7,0,10,7,0,7,4.364166259765625,-11.239500999450684,-4.030666828155518,-465.01580810546875,7.905000686645508,-39.18000030517578,22.30758285522461,422662.34375
