Date_UTC,SME
2015-03-16 03:50:00,153
2015-03-16 03:51:00,169
2015-03-16 03:52:00,167
2015-03-16 03:53:00,176
2015-03-16 03:54:00,218
2015-03-16 03:55:00,253
2015-03-16 03:56:00,261
2015-03-16 03:57:00,285
2015-03-16 03:58:00,304
2015-03-16 03:59:00,302
2015-03-16 04:00:00,334
2015-03-16 04:01:00,306
2015-03-16 04:02:00,320
2015-03-16 04:03:00,320
2015-03-16 04:04:00,335
2015-03-16 04:05:00,323
2015-03-16 04:06:00,313
2015-03-16 04:07:00,299
2015-03-16 04:08:00,288
2015-03-16 04:09:00,279
2015-03-16 04:10:00,279
2015-03-16 04:11:00,291
2015-03-16 04:12:00,295
2015-03-16 04:13:00,293
2015-03-16 04:14:00,296
2015-03-16 04:15:00,288
2015-03-16 04:16:00,288
2015-03-16 04:17:00,286
2015-03-16 04:18:00,268
2015-03-16 04:19:00,251
2015-03-16 04:20:00,251
2015-03-16 04:21:00,256
2015-03-16 04:22:00,307
2015-03-16 04:23:00,290
2015-03-16 04:24:00,258
2015-03-16 04:25:00,255
2015-03-16 04:26:00,251
2015-03-16 04:27:00,253
2015-03-16 04:28:00,244
2015-03-16 04:29:00,241
2015-03-16 04:30:00,278
2015-03-16 04:31:00,275
2015-03-16 04:32:00,282
2015-03-16 04:33:00,286
2015-03-16 04:34:00,286
2015-03-16 04:35:00,280
2015-03-16 04:36:00,286
2015-03-16 04:37:00,274
2015-03-16 04:38:00,280
2015-03-16 04:39:00,317
2015-03-16 04:40:00,357
2015-03-16 04:41:00,420
2015-03-16 04:42:00,431
2015-03-16 04:43:00,421
2015-03-16 04:44:00,444
2015-03-16 04:45:00,499
2015-03-16 04:46:00,490
2015-03-16 04:47:00,467
2015-03-16 04:48:00,435
2015-03-16 04:49:00,399
2015-03-16 04:50:00,400
2015-03-16 04:51:00,396
2015-03-16 04:52:00,381
2015-03-16 04:53:00,374
2015-03-16 04:54:00,376
2015-03-16 04:55:00,385
2015-03-16 04:56:00,388
2015-03-16 04:57:00,365
2015-03-16 04:58:00,366
2015-03-16 04:59:00,362
2015-03-16 05:00:00,354
2015-03-16 05:01:00,341
2015-03-16 05:02:00,335
2015-03-16 05:03:00,326
2015-03-16 05:04:00,326
2015-03-16 05:05:00,319
2015-03-16 05:06:00,311
2015-03-16 05:07:00,294
2015-03-16 05:08:00,277
2015-03-16 05:09:00,279
2015-03-16 05:10:00,300
2015-03-16 05:11:00,298
2015-03-16 05:12:00,288
2015-03-16 05:13:00,287
2015-03-16 05:14:00,284
2015-03-16 05:15:00,268
2015-03-16 05:16:00,294
2015-03-16 05:17:00,288
2015-03-16 05:18:00,284
2015-03-16 05:19:00,283
2015-03-16 05:20:00,300
2015-03-16 05:21:00,292
2015-03-16 05:22:00,291
2015-03-16 05:23:00,287
2015-03-16 05:24:00,274
2015-03-16 05:25:00,259
2015-03-16 05:26:00,259
2015-03-16 05:27:00,269
2015-03-16 05:28:00,271
2015-03-16 05:29:00,263
2015-03-16 05:30:00,256
2015-03-16 05:31:00,242
2015-03-16 05:32:00,224
2015-03-16 05:33:00,222
2015-03-16 05:34:00,225
2015-03-16 05:35:00,216
2015-03-16 05:36:00,215
2015-03-16 05:37:00,210
2015-03-16 05:38:00,202
2015-03-16 05:39:00,203
2015-03-16 05:40:00,201
2015-03-16 05:41:00,199
2015-03-16 05:42:00,196
2015-03-16 05:43:00,194
2015-03-16 05:44:00,185
2015-03-16 05:45:00,179
2015-03-16 05:46:00,189
2015-03-16 05:47:00,200
2015-03-16 05:48:00,218
2015-03-16 05:49:00,227
2015-03-16 05:50:00,220
2015-03-16 05:51:00,221
2015-03-16 05:52:00,231
2015-03-16 05:53:00,237
2015-03-16 05:54:00,234
2015-03-16 05:55:00,227
2015-03-16 05:56:00,228
2015-03-16 05:57:00,226
2015-03-16 05:58:00,219
2015-03-16 05:59:00,216
2015-03-16 06:00:00,221
2015-03-16 06:01:00,255
2015-03-16 06:02:00,254
2015-03-16 06:03:00,221
2015-03-16 06:04:00,207
2015-03-16 06:05:00,219
2015-03-16 06:06:00,223
2015-03-16 06:07:00,226
2015-03-16 06:08:00,214
2015-03-16 06:09:00,217
2015-03-16 06:10:00,218
2015-03-16 06:11:00,218
2015-03-16 06:12:00,243
2015-03-16 06:13:00,235
2015-03-16 06:14:00,221
2015-03-16 06:15:00,232
2015-03-16 06:16:00,221
2015-03-16 06:17:00,233
2015-03-16 06:18:00,237
2015-03-16 06:19:00,203
