,Time,BX_GSM,BY_GSM,BZ_GSM,Vx,Vy,Vz,proton_density,T
0,2015-03-17 04:50:00,2.68,6.31,26.93,-502.6,-21.1,2.5,13.7,149171.0
1,2015-03-17 04:51:00,2.78,3.53,25.99,-502.5,-19.8,1.6,13.52,151073.0
2,2015-03-17 04:52:00,2.97,3.41,25.29,-494.7,-16.8,4.0,16.91,172924.0
3,2015-03-17 04:53:00,0.21,5.09,25.52,-494.7,-16.8,4.0,16.91,172924.0
4,2015-03-17 04:54:00,4.0,5.52,25.53,-487.0,-33.5,12.3,15.27,129515.0
5,2015-03-17 04:55:00,3.6,5.39,26.19,-487.0,-33.5,12.3,15.27,129515.0
6,2015-03-17 04:56:00,2.31,3.81,25.92,-486.0,-39.3,15.1,13.23,146126.0
7,2015-03-17 04:57:00,4.37,0.92,25.19,-475.5,-70.7,49.9,13.05,150162.0
8,2015-03-17 04:58:00,5.21,1.2,24.94,-484.4,-60.0,36.2,14.43,133973.0
9,2015-03-17 04:59:00,3.99,2.06,23.85,-498.7,-79.2,55.6,20.2,127239.0
10,2015-03-17 05:00:00,3.91,3.31,23.46,-504.3,-75.3,48.7,21.29,126121.0
11,2015-03-17 05:01:00,3.48,2.48,24.03,-496.8,-78.9,54.5,26.15,122346.0
12,2015-03-17 05:02:00,1.7,3.44,23.88,-496.8,-78.9,54.5,26.15,122346.0
13,2015-03-17 05:03:00,1.66,3.95,23.51,-498.55,-77.25,50.95,26.939999,123289.5
14,2015-03-17 05:04:00,0.84,2.33,24.11,-500.3,-75.6,47.4,27.73,124233.0
15,2015-03-17 05:05:00,0.24,6.63,22.76,-502.5,-75.1,49.0,25.65,126897.0
16,2015-03-17 05:06:00,0.29,5.96,23.58,-502.2,-70.1,40.7,30.21,104221.0
17,2015-03-17 05:07:00,0.08,6.04,23.08,-502.2,-73.1,43.4,33.18,115708.0
18,2015-03-17 05:08:00,0.24,5.1,23.91,-505.1,-76.4,45.7,32.91,122443.0
19,2015-03-17 05:09:00,0.79,7.35,22.82,-506.1,-76.8,45.7,32.13,121883.0
20,2015-03-17 05:10:00,0.15,5.78,23.36,-499.4,-74.7,42.7,31.98,125114.0
21,2015-03-17 05:11:00,0.35,9.04,22.94,-505.1,-73.6,41.2,35.27,127289.0
22,2015-03-17 05:12:00,0.47,10.29,22.71,-508.7,-78.5,51.0,30.84,120560.0
23,2015-03-17 05:13:00,0.26,8.93,23.57,-499.9,-78.5,51.2,31.85,106668.0
24,2015-03-17 05:14:00,2.87,5.11,23.71,-501.0,-81.8,54.7,31.57,129911.0
25,2015-03-17 05:15:00,2.32,6.69,23.16,-502.2,-81.9,56.3,34.32,123679.0
26,2015-03-17 05:16:00,0.43,9.15,22.19,-502.8,-82.0,57.1,35.77,120492.0
27,2015-03-17 05:17:00,2.88,5.24,24.67,-502.6,-80.2,46.8,36.52,135190.0
28,2015-03-17 05:18:00,6.74,-3.98,25.97,-504.9,-80.3,48.4,30.15,118194.0
29,2015-03-17 05:19:00,4.87,0.48,25.56,-504.8,-81.5,48.3,30.65,120035.0
30,2015-03-17 05:20:00,5.09,3.46,27.34,-506.7,-75.0,47.1,25.58,106783.0
31,2015-03-17 05:21:00,5.77,0.47,26.98,-506.2,-75.7,47.6,25.81,113662.0
32,2015-03-17 05:22:00,6.82,-0.64,27.23,-505.2,-76.8,48.4,26.13,125043.0
33,2015-03-17 05:23:00,7.96,-3.46,26.8,-503.7,-76.1,47.9,21.44,125421.0
34,2015-03-17 05:24:00,8.46,-4.74,25.7,-498.4,-82.2,53.1,24.33,117564.0
35,2015-03-17 05:25:00,5.2,-5.04,25.34,-501.3,-78.2,47.6,26.76,132413.0
36,2015-03-17 05:26:00,7.41,-6.33,24.96,-501.4,-78.0,47.3,26.89,133239.0
37,2015-03-17 05:27:00,6.21,-6.27,24.8,-503.84998,-75.85,44.8,25.45,121588.5
