,Time,BX_GSM,BY_GSM,BZ_GSM,Vx,Vy,Vz,proton_density,T
0,2015-06-12 17:40:00,0.84,3.21,-0.91,-457.1,-11.9,-25.6,15.38,69148.0
1,2015-06-12 17:41:00,0.74,2.98,-0.68,-457.2,-6.7,-28.6,17.56,63994.0
2,2015-06-12 17:42:00,0.72,2.59,-0.38,-458.2,-8.1,-27.5,16.64,68323.0
3,2015-06-12 17:43:00,0.52,4.18,-0.19,-460.0,-10.3,-25.9,15.41,71306.0
4,2015-06-12 17:44:00,0.37,3.33,-0.5,-460.3,-12.4,-24.8,15.12,73534.0
5,2015-06-12 17:45:00,0.53,3.02,-0.4,-457.6,-8.3,-27.8,15.85,68119.0
6,2015-06-12 17:46:00,0.72,2.63,-0.55,-459.6,-9.1,-27.0,15.78,73404.0
7,2015-06-12 17:47:00,0.67,2.17,-0.61,-458.9,-9.6,-27.5,15.61,72047.0
8,2015-06-12 17:48:00,1.05,2.49,-0.35,-456.0,-4.2,-31.2,17.73,57435.0
9,2015-06-12 17:49:00,1.07,2.31,-0.45,-456.2,-4.3999996,-30.75,17.665,59060.0
10,2015-06-12 17:50:00,0.99,2.23,-0.12,-456.4,-4.6,-30.3,17.6,60685.0
11,2015-06-12 17:51:00,1.18,1.82,0.72,-455.1,-3.6,-30.8,18.59,56987.0
12,2015-06-12 17:52:00,1.4,2.39,-0.47,-455.6,-5.3,-30.0,18.74,56230.0
13,2015-06-12 17:53:00,2.33,2.34,-1.17,-456.3,-6.3,-29.5,17.37,60786.0
14,2015-06-12 17:54:00,0.92,2.15,0.24,-457.3333,-7.1666665,-28.5,17.856667,61358.0
15,2015-06-12 17:55:00,-0.16,1.82,1.52,-458.36667,-8.033333,-27.5,18.343334,61930.0
16,2015-06-12 17:56:00,1.21,2.39,0.51,-459.4,-8.9,-26.5,18.83,62502.0
17,2015-06-12 17:57:00,1.15,2.89,0.03,-460.6,-10.0,-22.7,18.21,66071.0
18,2015-06-12 17:58:00,0.93,2.97,0.35,-460.3,-10.1,-23.8,17.83,65792.0
19,2015-06-12 17:59:00,1.09,3.02,0.36,-459.9,-9.3,-24.4,17.82,68667.0
20,2015-06-12 18:00:00,0.26,3.1,1.02,-459.9,-7.7,-24.2,18.17,72340.0
21,2015-06-12 18:01:00,-0.4,2.13,1.89,-458.3,-3.8,-26.1,18.27,69436.0
22,2015-06-12 18:02:00,0.83,3.36,1.32,-456.6,-1.0,-27.4,18.24,69234.0
23,2015-06-12 18:03:00,1.2,4.0,1.66,-459.4,-7.9,-25.4,17.32,69052.0
24,2015-06-12 18:04:00,0.38,3.93,1.86,-454.3,-10.4,-26.0,15.1,70509.0
25,2015-06-12 18:05:00,0.77,3.29,1.38,-454.1,-9.4,-26.2,15.78,69581.0
26,2015-06-12 18:06:00,0.72,3.53,1.34,-453.9,-8.7,-26.5,15.85,69981.0
27,2015-06-12 18:07:00,0.82,3.48,1.25,-454.0,-8.7,-26.8,15.19,71721.0
28,2015-06-12 18:08:00,1.76,2.7,-0.08,-456.1,-8.3,-25.6,17.07,68429.0
29,2015-06-12 18:09:00,2.16,2.56,0.02,-457.5,-6.0,-26.2,18.05,66539.0
30,2015-06-12 18:10:00,2.16,2.44,-0.57,-457.4,-7.0,-23.9,19.28,64070.0
31,2015-06-12 18:11:00,2.28,2.19,-0.67,-455.8,-3.9,-25.2,18.6,71529.0
32,2015-06-12 18:12:00,2.02,2.4,-0.33,-457.0,-2.9,-26.7,18.89,67954.0
