,Time,BX_GSM,BY_GSM,BZ_GSM,Vx,Vy,Vz,proton_density,T
0,2011-12-28 16:50:00,-3.22,5.06,-5.93,-286.4,-24.9,38.1,39.88,44747.0
1,2011-12-28 16:51:00,-3.58,5.03,-5.74,-286.3,-24.9,38.0,39.91,44901.0
2,2011-12-28 16:52:00,-3.51,4.93,-5.9,-286.4,-24.4,36.2,38.41,46114.0
3,2011-12-28 16:53:00,-1.62,7.73,-0.05,-286.6,-25.1,33.3,41.08,45840.0
4,2011-12-28 16:54:00,-1.78,6.99,-0.74,-285.1,-22.2,36.7,45.03,39122.0
5,2011-12-28 16:55:00,-1.4,6.73,0.93,-285.6,-22.0,36.5,45.74,37994.0
6,2011-12-28 16:56:00,-1.19,6.54,1.64,-286.5,-23.7,34.6,48.33,33061.0
7,2011-12-28 16:57:00,-1.5,6.5,1.31,-285.0,-26.1,34.2,49.48,29859.0
8,2011-12-28 16:58:00,-1.58,6.65,1.35,-285.6,-26.8,35.5,47.04,29719.0
9,2011-12-28 16:59:00,-1.09,6.9,1.77,-284.9,-26.3,35.9,45.97,30568.0
10,2011-12-28 17:00:00,-1.32,6.7,0.99,-284.5,-27.3,36.5,45.54,30642.0
11,2011-12-28 17:01:00,-1.39,6.95,1.93,-285.0,-27.5,36.2,49.18,25816.0
12,2011-12-28 17:02:00,-1.92,6.8,1.58,-286.1,-27.3,35.4,50.22,22800.0
13,2011-12-28 17:03:00,-2.14,6.97,1.38,-286.9,-27.8,34.3,51.18,21383.0
14,2011-12-28 17:04:00,-1.68,6.71,2.59,-286.9,-27.8,34.3,51.18,21383.0
15,2011-12-28 17:05:00,-1.35,6.68,2.8,-286.4,-27.3,35.4,49.72,22217.0
16,2011-12-28 17:06:00,-1.96,6.31,1.15,-287.3,-24.8,34.8,51.32,20531.0
17,2011-12-28 17:07:00,-1.82,6.45,0.71,-287.6,-23.8,34.5,52.0,19820.0
18,2011-12-28 17:08:00,-1.85,6.51,0.41,-287.6,-23.949999,34.8,51.67,19765.5
19,2011-12-28 17:09:00,-2.26,6.5,-0.1,-287.6,-24.099998,35.1,51.34,19711.0
20,2011-12-28 17:10:00,-2.19,6.42,0.4,-287.6,-24.25,35.4,51.010002,19656.5
21,2011-12-28 17:11:00,-2.13,6.44,0.6,-287.6,-24.4,35.7,50.68,19602.0
22,2011-12-28 17:12:00,-1.92,6.53,1.37,-287.6,-24.4,35.7,50.68,19602.0
23,2011-12-28 17:13:00,-2.29,6.35,1.77,-287.9,-24.4,36.8,49.78,18954.0
24,2011-12-28 17:14:00,-1.87,6.66,2.79,-286.6,-27.2,37.4,47.46,19100.0
25,2011-12-28 17:15:00,-1.44,6.49,2.79,-285.8,-27.7,38.1,47.88,19340.0
