,Time,BX_GSE,BY_GSE,BZ_GSE,Vx,Vy,Vz,proton_density,T,Xpos
0,2015-03-17 04:20:00,-2.4914849,4.63745,7.80938,-397.1649169921875,69.26310729980469,-12.452118873596191,9.029585838317871,323417.06657133944,244246.98
1,2015-03-17 04:21:00,-2.3373566,4.3988194,7.989099,-397.1649169921875,69.26310729980469,-12.452118873596191,9.029585838317871,323417.06657133944,244288.17
2,2015-03-17 04:22:00,-2.3526025,3.776716,7.6904006,-396.0840589735243,69.10293579101562,-12.3498199250963,8.982155376010471,321520.4405491086,244329.94
3,2015-03-17 04:23:00,-3.2243502,3.6095498,7.168435,-395.0032009548611,68.94276428222656,-12.247520976596409,8.934724913703072,319623.8145268778,244371.6
4,2015-03-17 04:24:00,-3.484039,3.6524377,6.662178,-393.92234293619794,68.7825927734375,-12.145222028096518,8.88729445139567,317727.188504647,244413.33
5,2015-03-17 04:25:00,-2.0813658,4.793491,7.517872,-392.84148491753473,68.62242126464844,-12.042923079596626,8.83986398908827,315830.56248241616,244454.98
6,2015-03-17 04:26:00,-3.0942147,5.4047484,7.592643,-391.7606268988715,68.46224975585938,-11.940624131096733,8.79243352678087,313933.93646018533,244496.81
7,2015-03-17 04:27:00,-2.793024,5.218989,7.7559257,-390.6797688802083,68.30207824707031,-11.838325182596842,8.74500306447347,312037.3104379545,244538.67
8,2015-03-17 04:28:00,-3.026065,4.6796126,7.7036858,-389.59891086154516,68.14190673828125,-11.73602623409695,8.697572602166069,310140.6844157237,244580.47
9,2015-03-17 04:29:00,-1.9135948,5.2217493,7.3860364,-388.51805284288196,67.98173522949219,-11.63372728559706,8.65014213985867,308244.0583934929,244622.55
10,2015-03-17 04:30:00,-2.506714,4.3626432,7.644166,-387.43719482421875,67.82156372070312,-11.531428337097168,8.60271167755127,306347.43237126205,244664.44
11,2015-03-17 04:31:00,-3.5565703,5.172085,6.5605893,-397.7101067437066,66.58779652913411,-8.397659513685438,10.315420786539713,388623.06921563525,244706.38
12,2015-03-17 04:32:00,-1.971239,4.877539,5.496062,-407.98301866319446,65.35402933756511,-5.263890690273708,12.028129895528158,470898.7060600085,244748.62
13,2015-03-17 04:33:00,-2.138208,3.1167972,6.1847525,-418.2559305826823,64.1202621459961,-2.1301218668619786,13.740839004516602,553174.3429043817,244790.64
14,2015-03-17 04:34:00,-0.015357651,4.3456798,6.276934,-428.52884250217016,62.886494954427086,1.0036469565497512,15.453548113505047,635449.9797487549,244832.73
15,2015-03-17 04:35:00,1.1224672,4.430901,5.6126604,-438.80175442165796,61.65272776285807,4.137415779961481,17.16625722249349,717725.6165931281,244875.11
16,2015-03-17 04:36:00,-0.086801566,2.089773,7.124685,-449.0746663411458,60.41896057128906,7.271184603373211,18.878966331481934,800001.2534375013,244917.42
17,2015-03-17 04:37:00,-1.6008075,4.657131,6.0586724,-459.34757826063367,59.185193379720054,10.40495342678494,20.59167544047038,882276.8902818745,244959.64
18,2015-03-17 04:38:00,-0.25127655,3.8916492,7.0276847,-469.6204901801215,57.95142618815104,13.53872225019667,22.304384549458824,964552.5271262478,245002.05
19,2015-03-17 04:39:00,0.30925444,11.371588,13.94719,-479.8934020996094,56.71765899658203,16.6724910736084,24.017093658447266,1046828.163970621,245044.5
20,2015-03-17 04:40:00,0.8154333,14.973123,17.309391,-482.1558363172743,52.23309580485026,21.83323711819119,23.32845687866211,1100284.8733626257,245086.89
21,2015-03-17 04:41:00,-0.8056817,16.793436,17.73042,-484.4182705349392,47.74853261311849,26.99398316277398,22.639820098876953,1153741.5827546304,245129.6
22,2015-03-17 04:42:00,-0.65066355,16.207163,18.390152,-486.6807047526042,43.26396942138672,32.154729207356766,21.951183319091797,1207198.292146635,245171.92
23,2015-03-17 04:43:00,-0.101181135,16.53758,18.043207,-488.9431389702691,38.77940622965495,37.31547525193956,21.26254653930664,1260655.00153864,245214.72
24,2015-03-17 04:44:00,0.06861041,16.477955,18.72886,-491.205573187934,34.29484303792318,42.476221296522354,20.573909759521484,1314111.7109306445,245257.27
25,2015-03-17 04:45:00,0.0745747,15.402002,20.613037,-493.46800740559894,29.810279846191406,47.63696734110514,19.885272979736328,1367568.4203226492,245300.17
26,2015-03-17 04:46:00,1.5024074,15.276344,19.127264,-495.7304416232639,25.325716654459637,52.79771338568793,19.196636199951172,1421025.1297146538,245342.86
27,2015-03-17 04:47:00,1.5257957,12.921175,21.59546,-497.99287584092883,20.841153462727867,57.95845943027072,18.507999420166016,1474481.8391066587,245385.58
28,2015-03-17 04:48:00,2.37454,11.959937,21.74531,-500.25531005859375,16.356590270996094,63.119205474853516,17.81936264038086,1527938.5484986634,245428.62
29,2015-03-17 04:49:00,3.8062139,12.164472,21.099573,-499.7384918212891,12.55880126953125,58.88787727355957,18.009377670288085,1509441.8734016612,245471.5
30,2015-03-17 04:50:00,4.788681,12.637477,21.235037,-499.2216735839844,8.761012268066406,54.656549072265626,18.19939270019531,1490945.1983046588,245514.48
31,2015-03-17 04:51:00,3.5898018,13.995424,21.776524,-498.70485534667966,4.963223266601563,50.42522087097168,18.38940773010254,1472448.5232076566,245557.4
32,2015-03-17 04:52:00,1.8068961,13.389789,21.715092,-498.188037109375,1.165434265136719,46.19389266967774,18.579422760009766,1453951.8481106542,245600.7
33,2015-03-17 04:53:00,3.4031932,12.338073,21.350004,-497.6712188720703,-2.6323547363281246,41.96256446838379,18.769437789916992,1435455.173013652,245643.86
